School Name,City,State,Country,Website,Program Name,Degree Level,Accreditation Dates,Accredited Campus Locations,Criteria,Date of Next Comprehensive Review,Accredited By,International Mutual Recognition Aggreement
Abilene Christian University,Abilene,Texas," United States",http://www.acu.edu,Information Technology,Bachelors,"Oct 1, 2013 – Present",Main Campus,Information Technology,2020-2021,CAC,Seoul Accord
Abilene Christian University,Abilene,Texas," United States",http://www.acu.edu,Computer Science: Computing Theory Concentration,Bachelors,"Oct 1, 2013 – Present",Main Campus,Computer Science,2020-2021,CAC,Seoul Accord
Abilene Christian University,Abilene,Texas," United States",http://www.acu.edu,Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2022-2023,EAC,Washington Accord | Bilateral Engineers Canada
Abu Dhabi Polytechnic,Abu Dhabi,,United Arab Emirates,http://www.adpoly.ac.ae/En/Pages/Home.aspx,Electromechanical Engineering Technology,Bachelors,"Oct 1, 2017 – Present",Main Campus,Electromechanical Engineering Technology,2024-2025,ETAC,
Abu Dhabi University,Abu Dhabi,,United Arab Emirates,www.adu.ac.ae,Information Technology,Bachelors,"Oct 1, 2014 – Present",Main Campus,Information Technology,2021-2022,CAC,Seoul Accord
Abu Dhabi University,Abu Dhabi,,United Arab Emirates,www.adu.ac.ae,Civil Engineering,Bachelors,"Oct 1, 2012 – Present",Main Campus,Civil Engineering,2019-2020,EAC,
Abu Dhabi University,Abu Dhabi,,United Arab Emirates,www.adu.ac.ae,Computer Engineering,Bachelors,"Oct 1, 2012 – Present",Main Campus,Computer Engineering,2019-2020,EAC,
Abu Dhabi University,Abu Dhabi,,United Arab Emirates,www.adu.ac.ae,Electrical Engineering,Bachelors,"Oct 1, 2012 – Present",Main Campus,Electrical and Electronics Engineering,2019-2020,EAC,
Abu Dhabi University,Abu Dhabi,,United Arab Emirates,www.adu.ac.ae,Mechanical Engineering,Bachelors,"May 1, 2014 – Present",Main Campus,Mechanical Engineering,2019-2020,EAC,
Universidad Adolfo Ibanez,Santiago,,Chile,www.uai.cl,Industrial Engineering,Bachelors,"Oct 1, 2015 – Present","Campus Peñalolén, Campus Viña del Mar, Main Campus",Industrial Engineering,2022-2023,EAC,
Vaughn College of Aeronautics and Technology,Flushing,New York," United States",www.vaughn.edu,Mechatronic Engineering,Bachelors,"Oct 1, 2011 – Present",Main Campus,General Criteria Only (EAC),2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
Vaughn College of Aeronautics and Technology,Flushing,New York," United States",www.vaughn.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 2002 – Present",Main Campus,"Aeronautical Engineering Technology, Drafting/design Engineering Technology (Mechanical), Mechanical Engineering Technology",2019-2020,ETAC,Sydney Accord
Vaughn College of Aeronautics and Technology,Flushing,New York," United States",www.vaughn.edu,Electronic Engineering Technology - Avionics Concentration,Bachelors,"Oct 1, 2002 – Present",Main Campus,Electrical and Electronics Engineering Technology,2019-2020,ETAC,Sydney Accord
Vaughn College of Aeronautics and Technology,Flushing,New York," United States",www.vaughn.edu,Electronic Engineering Technology--General Electronics Option,Bachelors,"Oct 1, 2006 – Present",Main Campus,Electrical and Electronics Engineering Technology,2019-2020,ETAC,Sydney Accord
AGH University of Science and Technology in Krakow,Krakow,,Poland,www.agh.edu.pl,Mechatronic Engineering,Bachelors,"Oct 1, 2016 – Present",Main Campus,General Criteria Only (EAC),2022-2023,EAC,
Ajman University,Ajman,,United Arab Emirates,www.ajman.ac.ae,Biomedical Engineering,Bachelors,"Oct 1, 2016 – Present",Main Campus,Bioengineering and Biomedical Engineering,2023-2024,EAC,
Ajman University,Ajman,,United Arab Emirates,www.ajman.ac.ae,Electrical Engineering,Bachelors,"Oct 1, 2016 – Present","Main Campus, Fujairah Campus",Electrical and Electronics Engineering,2023-2024,EAC,
The University of Akron - College of Applied Science and Technology,Akron,Ohio," United States",www.uakron.edu,Surveying and Mapping,Bachelors,"Oct 1, 2010 – Present",Lorain County Community College,Surveying and Geomatics,2022-2023,ANSAC,
The University of Akron - College of Applied Science and Technology,Akron,Ohio," United States",www.uakron.edu,Construction Engineering Technology,Bachelors,"Oct 1, 1985 – Present",Main Campus,Construction Engineering Technology,2020-2021,ETAC,Sydney Accord
The University of Akron - College of Applied Science and Technology,Akron,Ohio," United States",www.uakron.edu,Electronic Engineering Technology,Bachelors,"Oct 1, 1976 – Present",Main Campus,Electrical and Electronics Engineering Technology,2020-2021,ETAC,Sydney Accord
The University of Akron - College of Applied Science and Technology,Akron,Ohio," United States",www.uakron.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1985 – Present",Main Campus,Mechanical Engineering Technology,2020-2021,ETAC,Sydney Accord
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Chemical Engineering,Bachelors,"Oct 1, 1970 – Present",Main Campus,"Chemical, Biochemical, Biomolecular Engineering",2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Civil Engineering,Bachelors,"Oct 1, 1950 – Present",Main Campus,Civil Engineering,2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Electrical Engineering,Bachelors,"Oct 1, 1941 – Present",Main Campus,Electrical and Electronics Engineering,2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Mechanical Engineering,Bachelors,"Oct 1, 1941 – Present",Main Campus,Mechanical Engineering,2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Computer Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Computer Engineering,2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Biomedical Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Bioengineering and Biomedical Engineering,2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Aerospace Systems Engineering,Bachelors,"Oct 27, 2013 – Present",Main Campus,Aerospace Engineering,2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
The University of Akron,Akron,Ohio," United States",www.uakron.edu,Corrosion Engineering,Bachelors,"Oct 1, 2014 – Present",Main Campus,General Criteria Only (EAC),2019-2020,EAC,Washington Accord | Bilateral Engineers Canada
Al Ain University of Science and Technology,Al Ain,,United Arab Emirates,http://aau.ac.ae/en/,Software Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,Software Engineering,2021-2022,EAC,
Al Ain University of Science and Technology,Al Ain,,United Arab Emirates,http://aau.ac.ae/en/,Networks & Communication Engineering,Bachelors,"Oct 1, 2014 – Present",Main Campus,Communications Engineering,2021-2022,EAC,
Al Akhawayn University in Ifrane,Ifrane,,Morocco,www.aui.ma,Computer Science,Bachelors,"Oct 1, 2009 – Present",Main Campus,Computer Science,2022-2023,CAC,Seoul Accord
Al Akhawayn University in Ifrane,Ifrane,,Morocco,www.aui.ma,General Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2022-2023,EAC,
Al Akhawayn University in Ifrane,Ifrane,,Morocco,www.aui.ma,Engineering and Management Science,Bachelors,"Oct 1, 2015 – Present",Main Campus,Engineering Management,2022-2023,EAC,
Al Ghurair University,Dubai,,United Arab Emirates,www.agu.ac.ae,Electrical and Electronics Engineering,Bachelors,"Oct 1, 2012 – Present",Main Campus,Electrical and Electronics Engineering,2019-2020,EAC,
Al Imam Mohammad Ibn Saud Islamic University,Riyadh,,Saudi Arabia,http://ccis-imsiu.edu.sa/English/Pages/HomePage.aspx,Computer Science,Bachelors,"Oct 1, 2014 – Present",Main Campus,Computer Science,2021-2022,CAC,Seoul Accord
Al Imam Mohammad Ibn Saud Islamic University,Riyadh,,Saudi Arabia,http://ccis-imsiu.edu.sa/English/Pages/HomePage.aspx,Information Systems,Bachelors,"Oct 1, 2014 – Present",Main Campus,Information Systems,2021-2022,CAC,Seoul Accord
Al Imam Mohammad Ibn Saud Islamic University,Riyadh,,Saudi Arabia,http://ccis-imsiu.edu.sa/English/Pages/HomePage.aspx,Information Studies,Bachelors,"Oct 1, 2014 – Present",Main Campus,General Criteria Only (CAC),2021-2022,CAC,Seoul Accord
Alabama A&M University,Huntsville,Alabama," United States",www.aamu.edu,Computer Science,Bachelors,"Oct 1, 2003 – Present",Main Campus,Computer Science,2022-2023,CAC,Seoul Accord
Alabama A&M University,Huntsville,Alabama," United States",www.aamu.edu,Civil Engineering,Bachelors,"Oct 1, 1998 – Present",Main Campus,Civil Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
Alabama A&M University,Huntsville,Alabama," United States",www.aamu.edu,Electrical Engineering,Bachelors,"Oct 1, 1998 – Present",Main Campus,Electrical and Electronics Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
Alabama A&M University,Huntsville,Alabama," United States",www.aamu.edu,Mechanical Engineering,Bachelors,"Oct 1, 1998 – Present",Main Campus,Mechanical Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama," United States",www.uab.edu,Computer Science,Bachelors,"Oct 1, 2005 – Present",University of Alabama at Birmingham,Computer Science,2024-2025,CAC,Seoul Accord
University of Alabama at Birmingham,Birmingham,Alabama," United States",www.uab.edu,Civil Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Civil Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama," United States",www.uab.edu,Electrical Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Electrical and Electronics Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama," United States",www.uab.edu,Materials Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Materials Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama," United States",www.uab.edu,Mechanical Engineering,Bachelors,"Oct 1, 1983 – Present",University of Alabama at Birmingham,Mechanical Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
University of Alabama at Birmingham,Birmingham,Alabama," United States",www.uab.edu,Biomedical Engineering,Bachelors,"Oct 1, 2005 – Present",University of Alabama at Birmingham,Bioengineering and Biomedical Engineering,2024-2025,EAC,Washington Accord | Bilateral Engineers Canada
The University of Alabama in Huntsville,Huntsville,Alabama," United States",www.uah.edu,Chemical Engineering,Bachelors,"Oct 1, 1986 – Present",Main Campus,"Chemical, Biochemical, Biomolecular Engineering",2021-2022,EAC,Washington Accord | Bilateral Engineers Canada
