FacilityName                                                   ,City                 ,END
1 2 3 You N Me Preschool                                       ,Peoria               ,
1st Holy Zion Center for Learning                              ,Chicago              ,
21st Century Primary Center                                    ,Park Forest          ,
7th Grade Academy                                              ,Cahokia              ,
8th Grade Academy                                              ,Cahokia              ,
A B Shepard High Sch (Campus)                                  ,Palos Heights        ,
A E R O Spec Educ Coop                                         ,Burbank              ,
A E R O Educational Center                                     ,Burbank              ,
A F Ames Elem School                                           ,Riverside            ,
A J Katzenmaier Academy                                        ,North Chicago        ,
A Mothers Touch Creative Learning Center                       ,Arlington Heights    ,
A Mothers Touch Learning Academy                               ,Des Plaines          ,
A O Marshall Elem School                                       ,Joliet               ,
A Place of Hope Christian Ministries                           ,Chicago              ,
A Step Ahead Academy                                           ,Chicago              ,
A Village Green Montessori                                     ,Libertyville         ,
A Vito Martinez Middle School                                  ,Romeoville           ,
A.E.R.O. EC Program-Satellite                                  ,Burbank              ,
A.E.R.O.-Comm. Develop.-Satellite                              ,Burbank              ,
A.E.R.O-Connect Prog-Satellite                                 ,Burbank              ,
A.E.R.O-Functional Acad Learning-Satellite                     ,Burbank              ,
A.E.R.O-STAR (Autism)-Satellite                                ,Burbank              ,
A.S.B. Educational Institute                                   ,Chicago              ,
AAA Academy                                                    ,Blue Island          ,
AAA Academy II                                                 ,E Hazel Crest        ,
AAA Academy Intensive                                          ,Blue Island          ,
Abbott Middle School                                           ,Elgin                ,
Abe Lincoln Elem School                                        ,Cicero               ,
Abingdon-Avon CUSD 276                                         ,Abingdon             ,
Abingdon-Avon High Sch                                         ,Abingdon             ,
Abingdon-Avon Middle Sch                                       ,Avon                 ,
ABLE Academy                                                   ,Aurora               ,
ABLE Academy                                                   ,Warrenville          ,
ABLE Academy - Intensive                                       ,Warrenville          ,
Able Program                                                   ,Markham              ,
Abounding Grace Christian Acad                                 ,Rockford             ,
Abraham Lincoln Elem School                                    ,Oak Park             ,
Abraham Lincoln Elem School                                    ,Glen Ellyn           ,
Abraham Lincoln Elem School                                    ,Belleville           ,
Abraham Lincoln Middle School                                  ,Rockford             ,
Abraxas Meridian North                                         ,Woodridge            ,
Abraxas Naperville Bridge Program                              ,Woodridge            ,
Abraxas Naperville Bridge-Int                                  ,Woodridge            ,
Abraxas Youth & Family Services                                ,Woodridge            ,
Abundant Grace College Preparatory                             ,Hazel Crest          ,
Abundant Living Christian Academy                              ,Dolton               ,
Abundant Model College Preparatory                             ,Harvey               ,
A-C Central CUSD 262                                           ,Ashland              ,
A-C Central Elementary School                                  ,Chandlerville        ,
A-C Central High School                                        ,Ashland              ,
A-C Central Middle School                                      ,Ashland              ,
Acacia Academy                                                 ,La Grange Highlands  ,
Acacia Academy - Intensive                                     ,La Grange Highlands  ,
Acad of St Priscilla at Divine Savior                          ,Norridge             ,
Academic Behavior&Community Acad                               ,Quincy               ,
Academic Mastery Academy                                       ,Posen                ,
Academic Mastery Alt Ed Acad                                   ,Posen                ,
Academy for Autism                                             ,Peoria               ,
Academy for Autism- Int                                        ,Peoria               ,
Academy for Global Citizenship                                 ,Chicago              ,
Academy for Learning                                           ,Dolton               ,
Academy for Lifelong Learning (ALL)                            ,Chicago Heights      ,
Academy High                                                   ,Champaign            ,
Academy of Scholastic Achievement                              ,Chicago              ,
Academy of St Benedict                                         ,Chicago              ,
Academy Sacred Heart/Hardey Prep                               ,Chicago              ,
Acadia Arkansas                                                ,Fordyce              ,
Acadia Behavioral Health                                       ,Franklin             ,
Acadia Health Care                                             ,Franklin             ,
Acadia Montana                                                 ,Butte                ,
ACDC Penniman                                                  ,Cahokia              ,
ACE Technical Charter High School                              ,Chicago              ,
Acero Chtr Netrk - Major Garcia                                ,Chicago              ,
Acero Chtr Sch Network - Jovita Idar                           ,Chicago              ,
Acero Chtr Sch Network - Major Hector P Garcia MD Campus       ,Chicago              ,
Acero Chtr Sch Network - Bartolome de las Casas                ,Chicago              ,
Acero Chtr Sch Network - Brighton Park Campus                  ,Chicago              ,
Acero Chtr Sch Network - Carlos Fuentes Campus                 ,Chicago              ,
Acero Chtr Sch Network - Esmeralda Santiago Campus             ,Chicago              ,
Acero Chtr Sch Network - Octavio Paz Campus                    ,Chicago              ,
Acero Chtr Sch Network - Officer Donald J Marquez Campus       ,Chicago              ,
Acero Chtr Sch Network - PFC Omar E Torres Campus              ,Chicago              ,
Acero Chtr Sch Network - Rufino Tamayo Campus                  ,Chicago              ,
Acero Chtr Sch Network - SPC Daniel Zizumbo Campus             ,Chicago              ,
Acero Chtr Sch Network- Sandra Cisneros Campus                 ,Chicago              ,
Acero Chtr Sch Network Victoria Soto Campus                    ,Chicago              ,
Acero Chtr Sch Netwrk- Victoria                                ,Chicago              ,
Acero Chtr Sch Newtwork - Roberto Clemente Campus              ,Chicago              ,
Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz             ,Chicago              ,
Achievement Centers                                            ,La Grange Highlands  ,
ACTIONS Program                                                ,Champaign            ,
Ada S McKinley Community Services                              ,Chicago              ,
Adam/Brwn/Cass/Morgn/Pik/Sctt ROE                              ,Quincy               ,
Adams Co Juvenile Detention Cntr                               ,Quincy               ,
Adams County RSSP                                              ,Quincy               ,
Adams Elem School                                              ,Lincoln              ,
Adams School                                                   ,Creal Springs        ,
Addams Elem School                                             ,Chicago              ,
Addison Early Learning Center                                  ,Addison              ,
Addison SD 4                                                   ,Addison              ,
Addison Trail High School                                      ,Addison              ,
Adlai E Stevenson High School                                  ,Lincolnshire         ,
Adlai E Stevenson HSD 125                                      ,Lincolnshire         ,
Adlai Stevenson Elem School                                    ,Elk Grove Village    ,
Adler Park School                                              ,Libertyville         ,
Adm Richard E Byrd Elem School                                 ,Elk Grove Village    ,
Adolescent Adjustment Center                                   ,Centreville          ,
Adolph Link Elem School                                        ,Elk Grove Village    ,
Adult LIFE Academy                                             ,Mattoon              ,
Adventist GlenOaks Hospital                                    ,Glendale Heights     ,
Advocate Condell Day Center                                    ,Libertyville         ,
Agape Christian High School                                    ,Marion               ,
Agassiz Elem School                                            ,Chicago              ,
Air Force Acad High School                                     ,Chicago              ,
AIS Intelligence Project                                       ,Chicago              ,
Akiba-Schechter Day School                                     ,Chicago              ,
Akin CCSD 91                                                   ,Akin                 ,
Akin Comm Cons Elem School                                     ,Akin                 ,
Al Huda Academy                                                ,Hanover Park         ,
Alan B Shepard Elem School                                     ,Bourbonnais          ,
Alan B Shepard Middle School                                   ,Deerfield            ,
Albany Park Multicultural Elem                                 ,Chicago              ,
Albers Elem School                                             ,Albers               ,
Albers SD 63                                                   ,Albers               ,
Albert Cassens Elementary                                      ,Glen Carbon          ,
Albert Einstein Elem School                                    ,Hanover Park         ,
Albion Grade School                                            ,Albion               ,
Alcott College Prep                                            ,Chicago              ,
Alcott Elem School                                             ,Chicago              ,
Alcott Humanities High School                                  ,Chicago              ,
Alcuin Montessori School                                       ,Oak Park             ,
Alden Hebron Elem School                                       ,Hebron               ,
Alden Hebron SD 19                                             ,Hebron               ,
Alden-Hebron High School                                       ,Hebron               ,
Alden-Hebron Middle School                                     ,Hebron               ,
Aldridge Elem School                                           ,Chicago              ,
Alex M Martino Jr High School                                  ,New Lenox            ,
Alexander Graham Bell Mont. INT                                ,Wheeling             ,
Alexander Graham Bell Montessori                               ,Wheeling             ,
Alexander Leigh Cntr for Autism                                ,McHenry              ,
Algonquin Lakes Elem Sch                                       ,Algonquin            ,
Algonquin Middle School                                        ,Des Plaines          ,
Algonquin Middle School                                        ,Algonquin            ,
Algonquin Primary Center                                       ,Park Forest          ,
Algonquin Road Elem School                                     ,Fox River Grove      ,
Alhambra Primary School                                        ,Alhambra             ,
Alice Gustafson Elem School                                    ,Batavia              ,
Alices Discovery Center                                        ,Waukegan             ,
All About Kids Montessori Sch                                  ,Aurora               ,
All Day Montessori                                             ,Chicago              ,
All Saints Academy                                             ,Breese               ,
All Saints Catholic Academy                                    ,Rockford             ,
All Saints Catholic Academy                                    ,Naperville           ,
Alleman High School                                            ,Rock Island          ,
Allen Junior High School                                       ,La Moille            ,
Allendale - North Chicago                                      ,North Chicago        ,
Allendale Association                                          ,Lake Villa           ,
Allendale CCSD 17                                              ,Allendale            ,
Allendale Elementary School                                    ,Allendale            ,
Allendale Res. Sch. Prg. Int                                   ,Lake Villa           ,
Allendale Residential School Prog                              ,Lake Villa           ,
Allendale School                                               ,Lake Villa           ,
Allendale Stepping Stone-Day-Int                               ,Lake Villa           ,
Allendale-Becker House                                         ,Waukegan             ,
Allendale-Stepping Stone West                                  ,Woodstock            ,
Allendale-Stepping Stone-Day                                   ,Lake Villa           ,
Allendale-Stepping Stone-LINC                                  ,Woodstock            ,
Allendale-Stepping Stone-LINC-Int                              ,Woodstock            ,
Allendale-Walter Cherry                                        ,Waukegan             ,
Allen-Otter Creek CCSD 65                                      ,Ransom               ,
ALOP Academic Learning Program                                 ,Oak Park             ,
Alphonsus Acad & Cntr for Arts                                 ,Chicago              ,
Alpine Academy                                                 ,Tooele               ,
Alpine Academy                                                 ,Rockford             ,
Alpine Academy-Willow Creek Home                               ,Erda                 ,
Alpine Christian School                                        ,Rockford             ,
Alsip-Hazlgrn-Oaklwn SD 126                                    ,Alsip                ,
ALSP-Blackhawk MS-Bensenville SD 2                             ,Bensenville          ,
ALSP-DuJardin Elem Sch-Bloomingdale SD 13                      ,Bloomingdale         ,
ALSP-F.E. Peacock MS-Itasca SD 10                              ,Itasca               ,
ALSP-Fenton CHS-Fenton HSD 100                                 ,Bensenville          ,
ALSP-Lake Park East HS-Lake Park SD 108                        ,Roselle              ,
ALSP-Medinah Inter Sch-Medinah SD 11                           ,Medinah              ,
ALSP-Westfield MS-Bloomingdale SD 13                           ,Bloomingdale         ,
Alt Behavior Treatment Centers                                 ,Mundelein            ,
Altamont CUSD 10                                               ,Altamont             ,
Altamont Grade School                                          ,Altamont             ,
Altamont High School                                           ,Altamont             ,
Altamont Lutheran Interparish                                  ,Altamont             ,
Alternative Education Center                                   ,Decatur              ,
Althoff Catholic High School                                   ,Belleville           ,
Altntve Academic Acheivemnt Acad                               ,Blue Island          ,
Alton CUSD 11                                                  ,Alton                ,
Alton High School                                              ,Alton                ,
Alton Middle School                                            ,Alton                ,
Altus Academy                                                  ,Chicago              ,
AlWood Middle/High School                                      ,Woodhull             ,
AlWood CUSD 225                                                ,Woodhull             ,
AlWood Elem School                                             ,Alpha                ,
Alxndr/Jcksn/Pulsk/Prry/Union ROE                              ,Murphysboro          ,
Amandla Charter School                                         ,Chicago              ,
Amboy Central Elem School                                      ,Amboy                ,
Amboy CUSD 272                                                 ,Amboy                ,
Amboy High School                                              ,Amboy                ,
Amboy Jr High School                                           ,Amboy                ,
Amelia V Carriel Jr High                                       ,O Fallon             ,
American School                                                ,Lansing              ,
Americana Intermediate School                                  ,Glendale Heights     ,
Amos Alonzo Stagg High School                                  ,Palos Hills          ,
Amundsen High School                                           ,Chicago              ,
Ancona School Society Inc                                      ,Chicago              ,
Andalusia Elem School                                          ,Andalusia            ,
Anderson Elem School                                           ,Saint Charles        ,
Andrew Cooke Magnet Elem School                                ,Waukegan             ,
Angel Outreach Inc                                             ,North Aurora         ,
Ann Reid Early Childhood Center                                ,Naperville           ,
Anna CCSD 37                                                   ,Anna                 ,
Anna Jonesboro CHSD 81                                         ,Anna                 ,
Anna Junior High School                                        ,Anna                 ,
Anna McDonald Elem School                                      ,Manhattan            ,
Anna-Jonesboro High School                                     ,Anna                 ,
Annawan CUSD 226                                               ,Annawan              ,
Annawan Grade School                                           ,Annawan              ,
Annawan High School                                            ,Annawan              ,
Anne Fox Elem School                                           ,Hanover Park         ,
Anne M Jeans Elem School                                       ,Willowbrook          ,
Anne Sullivan Elem School                                      ,Prospect Heights     ,
Annette Officer Elementary                                     ,East Saint Louis     ,
Annunciata School                                              ,Chicago              ,
Annunciation                                                   ,Aurora               ,
Another Chance Learning Center                                 ,Chicago              ,
Antioch CCSD 34                                                ,Antioch              ,
Antioch Christian Academy                                      ,Decatur              ,
Antioch Comm High School                                       ,Antioch              ,
Antioch Upper Grade School                                     ,Antioch              ,
Aplington Middle School                                        ,Polo                 ,
Apollo Elem School                                             ,Des Plaines          ,
Apollo Elem School                                             ,Aledo                ,
Apostolic Kingdom                                              ,South Holland        ,
Apostolic Learning Academy                                     ,Dupo                 ,
Aptakisic Junior High School                                   ,Buffalo Grove        ,
Aptakisic-Tripp CCSD 102                                       ,Buffalo Grove        ,
Aqsa School                                                    ,Bridgeview           ,
Aquin Catholic Jr-Sr High School                               ,Freeport             ,
Aquin Elementary Campus                                        ,Freeport             ,
Aquinas Academy                                                ,Hometown             ,
Arbor Academy                                                  ,Highland Park        ,
Arbor Park Middle School                                       ,Oak Forest           ,
Arbor Park SD 145                                              ,Oak Forest           ,
Arbor View Elem School                                         ,Glen Ellyn           ,
Arbury Hills Elem School                                       ,Mokena               ,
ARC                                                            ,Jacksonville         ,
Arcadia Elem School                                            ,Olympia Fields       ,
Arcola CUSD 306                                                ,Arcola               ,
Arcola Elementary School                                       ,Arcola               ,
Arcola High School                                             ,Arcola               ,
Ardmore Elem School                                            ,Addison              ,
