SAT_ERW,ACT_English
800,36
790,36
780,36
770,35
760,35
750,35
740,35
730,35
720,34
710,34
700,33
690,32
680,31
670,30
660,30
650,29
640,28
630,27
620,26
610,25
600,25
590,24
580,24
570,22
560,22
550,21
540,20
530,20
520,19
510,18
500,17
490,16
480,16
470,15
460,15
450,14
440,14
430,13
420,13
410,12
400,11
390,11
380,10
370,10
360,10
350,9
340,8
330,8
320,7
310,7
300,6
290,5
280,4
270,4
260,3
250,2
240,1
,
,
,
"To get some more granular data for the ACT, check out the national norms on the ACT website. For the SAT, visit the ""Understanding Your Scores"" page on the SAT website and click through to the latest perce",
