Class,Total
Academic Alegbra 1,1.75
Academic Biology,1.75
Academic Chemistry,1.75
Accelerated Advanced Algebra with Trig,3.5
accelerated algebra,3.5
Accelerated Precalc/Calc A,5.25
Adv Alg Pre Diploma Program,5.25
Advanced Alegbra 2,5.25
Advanced Algebra,3.5
Advanced Algebra 2/Trig,3.5
ADVANCED ALGEBRA WITH TRIG,3.5
Advanced Geometry,3.5
Advanced Programming Python,5.25
Aerospace Engineering,5.25
ALGEBRA,1.75
Regular Algebra 1,1.75
Algebra 1,1.75
algebra 2,3.5
Algebra 3,3
Algebra 2/Trig,3.5
Algebra Competency,1.75
Algebra with Trig,3.5
Analytical Geometry,5.25
Anatomy,3.5
ANATOMY & PHYSIOLOGY,3.5
AP Algebra 1,1.75
AP Algebra 2,3.5
AP BC CALCULUS,7
AP Biology,1.75
AP Biology Extended,2
AP CALC AB,5.25
AP Calc BC,5.25
AP CALCLULUS BC,5.25
AP Calculous,7
AP Calculus,7
AP CALCULUS 1,7
AP CALCULUS 2,7
AP Calculus A/B,7
AP Calculus AB,7
AP AB Calculus,7
AP Calculus BC,7
AP Chemistry,1.75
AP Chemistry C,1.75
AP Chemistry Extended,1.75
AP Chemisty,1.75
AP Human Biology,2
AP Computer Science,3.5
AP Computer Science A,3.5
AP Computer Science Principle,3.5
AP Computer Science Principles,3.5
AP Environmental Science,5.25
AP PHYISICS C ELECTRICTY & MAGNETISM,5.25
AP PHYSIC C MECHANICS & E&M,5.25
AP Physics,3.5
AP Physics 1,3.5
AP Physics 2,5.25
AP Physics C,5.25
AP PHYSICS C E&M,5.25
AP Physics C Electricity & Magnetism,5.25
AP Physics C Extended,5.25
AP Physics C Mechanics,5.25
AP PHYSICS C MEHCANICS,5.25
AP Physics Mechanics,3.5
AP Physics-Algebra based,3.5
AP PSYCHOLOGY,3.5
AP Research,5.25
AP Statisics,5.25
AP Statistics,5.25
AP Web Application Development,5.25
Apple App,3.5
Applied Biochemistry,5.25
APPLIED COMPUTER ARTS & SCIENCE,3.5
Astronomy,5.25
biology,1.75
Regular Biology,1.75
BIOLOGY HH,2.75
Biology Pre Diploma Program,1.75
BIOTECHNOLGY,5.25
biotechnology,5.25
Biotechnology/Microbiology,5.25
BUILD & DESIGN,3.5
CAD Technology,5.25
Calc BC/AP,5.25
Calculus,7
Calculus & Analytic Geometry 1,7
Calculus 1,7
Calculus 2,7
CALCULUS BC,7
Chemistry,1.75
Chemistry Pre Diploma Program,1.75
Chemisty,1.75
Civil Engineering & Architecture,5.25
Civil Engineering & Architecture DBL,3.5
Code & Game Design,5.25
Coll Alg/Trig,3.5
College Algebra,3.5
College Credit Bio,5.25
College Credit Calculus,7
College Credit Mathematics,3.5
COLLEGE READINESS MATH,3.5
COMP SCI PRINCIPLES 1,3.5
Computer Science Principles,3.5
COMP SCI PRINCIPLES 2,3.5
COMPUTER APPLICATIONS,3.5
Computer Information Systems,3.5
Computer Intformation Systems,3.5
COMPUTER OPERATIONS,3.5
Computer Science,3.5
Intermediate Computer Science,4
Computer Science 1,3.5
Computer Science C++,3.5
COMPUTER SCIENCE PRINCIPLES 1,3.5
COMPUTER SCIENCE PRINCIPLES 2,3.5
CP ENGINEERING DESIGN 2,5.25
Digital Electronics,3.5
Digital Eletronics,5.25
DIGITAL LITERACY,1.75
DP ADVANCED ALGEBRA WITH TRIG,3.5
DP MATH APPLICATION & INTERPRETATION 2,3.5
DUAL CREDIT PHYSICS,3.5
Dual Enrollment Calculus 2,7
Dual Enrollment Calculus 3,7
Dual-Credit Biology,1.75
Dual-Credit Chemistry,1.75
Dual-Credit Chemistry 121,1.75
Dual-Credit College Algebra 140,3.5
Dual-Credit Math 118,3.5
Dual-Credit Math 125,3.5
Dual-Credit Math 140-141,3.5
Dual-Credit Multivariable Calculus,8.75
DUAL-CREDIT PHYSICS,3.5
Dual-Credit Pre-Calc,3.5
Dual-Credit Precalc 143,3.5
Dual credit Pre-calculus,3.5
DUAL-CREDIT PRECALCULAUS,3.5
Dual-Credit Pre-Calculus,3.5
Earth & Space Science,3.5
Electronics,3.5
Elementary Logic,3.5
ENGINEERING,3.5
Engineering & Design,3.5
Engineering & Technology,5.25
Engineering 1,3.5
Engineering 2,3.5
ENGINEERING BASICS,3.5
Engineering Design,5.25
Engineering Design 1,3.5
ENGINEERING DESIGN DEVELOPMENT,3.5
Intro to Engineering Principles of Engineering,5
Engineering Principles,5.25
Environmental Science,3.5
Excel Algebra 1,1.75
Excel Biology,1.75
Excel Physics,3.5
